Filename	Rank	TaxonName	Origin	Provider	SizePix	ImageDate	OrgFilename	Comment
"Petroselinum crispum_2 (404).JPG"	"2"	"Petroselinum crispum"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5038848"	""	"Petroselinumcrispum_20070109_NRoques_14072008B.JPG"	""
"Petroselinum crispum_2 (405).JPG"	"2"	"Petroselinum crispum"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5038848"	""	"Petroselinumcrispum_20070109_NRoques_14072008A.JPG"	""
"Phaseolus coccineus_2 (2095).jpg"	"2"	"Phaseolus coccineus"	""	"Havinga, R.M. (Reinout)"	"999364"	"2014-06-26"	"Phaseolus coccineus_20120282_RMH_20140626.JPG"	""
"Polypodium vulgare_2 (74).JPG"	"2"	"Polypodium vulgare"	"Portugal, Serra de Estrela"	"van Proosdij, A.S.J. (André)"	"1572864"	""	"Polypodium vulgare habitat PortugalB.JPG"	"File type:Photo, scanned"
"Polypodium vulgare_2 (75).JPG"	"2"	"Polypodium vulgare"	"Portugal, Serra de Estrela"	"van Proosdij, A.S.J. (André)"	"1572864"	""	"Polypodium vulgare habitat PortugalC.JPG"	"File type:Photo, scanned"
"Polypodium vulgare_2 (76).JPG"	"2"	"Polypodium vulgare"	"Portugal, Serra de Estrela"	"van Proosdij, A.S.J. (André)"	"1572864"	""	"Polypodium vulgare habitat PortugalD.JPG"	"File type:Photo, scanned"
"Polypodium vulgare_2 (77).JPG"	"2"	"Polypodium vulgare"	"Portugal, Serra de Estrela"	"van Proosdij, A.S.J. (André)"	"1572864"	""	"Polypodium vulgare habitat Portugal.JPG"	"File type:Photo, scanned"
"Prunella vulgaris_2 (689).JPG"	"2"	"Prunella vulgaris"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5294080"	"2008-07-15"	"Prunellavulgaris_20031111_NRoques_14072008.JPG"	""
"Pulmonaria officinalis_1 (2179).jpg"	"1"	"Pulmonaria officinalis"	""	"Verbrugge, P. (Petra)"	"998784"	"2011-04-04"	"Pulmonaria officionalis_20100014_Petra Verbrugge_20110404.jpg"	""
"Punica granatum_2 (1).JPG"	"2"	"Punica granatum"	"Hortus Botanicus Amsterdam"	"Havinga, R.M. (Reinout)"	"5038848"	""	"Punica granatum RHavinga 17-03-2008.JPG"	""
"Punica granatum_2 (499).JPG"	"2"	"Punica granatum"	"Hortus Botanicus Amsterdam"	"Havinga, R.M. (Reinout)"	"5038848"	"2008-04-14"	"Indet V49.11-006 RHavinga 14-04-2008_002.JPG"	""
"Reseda lutea_2 (738).JPG"	"2"	"Reseda lutea"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5038848"	""	"Resedalutea_B5412_NRoques_14072008.JPG"	""
"Reseda lutea_2 (739).JPG"	"2"	"Reseda lutea"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5294080"	"2008-07-23"	"Resedalutea_B5412_NRoques_23072008.JPG"	""
"Reseda lutea_2 (859).JPG"	"2"	"Reseda lutea"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5038848"	""	"Resedalutea_20021353_NRoques_25092008.JPG"	""
"Rosmarinus officinalis_1 (1945).jpg"	"1"	"Rosmarinus officinalis"	""	"Moninckx"	"793800"	"2014-03-23"	"Rosmarinus officinalis Moninckx.jpg"	""
"Rosmarinus officinalis_2 (1930).jpg"	"2"	"Rosmarinus officinalis"	""	""	"999364"	"2014-03-10"	"IMG_0050.JPG"	""
"Rosmarinus officinalis_3 (1929).jpg"	"3"	"Rosmarinus officinalis"	""	""	"3000000"	"2014-03-10"	"Rosmarinus officinalis B1522.JPG"	""
"Rubus odoratus_2 (2096).jpg"	"2"	"Rubus odoratus"	""	"Havinga, R.M. (Reinout)"	"999364"	"2014-06-26"	"Rubus odoratus_B5507_RMH_20140626.JPG"	""
"Rubus odoratus_3 (2207).jpg"	"3"	"Rubus odoratus"	""	"Hoegen, N. (Nicole)"	"999364"	"2010-08-09"	"Rubus odoratus L_205507_NHoegen_20109_001.jpg"	""
"Rudbeckia laciniata_1 (2516).jpg"	"1"	"Rudbeckia laciniata"	""	"Hill, E (Elaine)"	"998784"	"2014-05-24"	"Rudbeckia laciniata B2815 EHill 20142405 01.jpg"	""
"Rudbeckia laciniata_2 (2520).jpg"	"2"	"Rudbeckia laciniata"	""	"Hill, E (Elaine)"	"998784"	"2014-05-24"	"Rudbeckia laciniata B2815 EHill 20142405 05.jpg"	""
"Rudbeckia laciniata_3 (2519).jpg"	"3"	"Rudbeckia laciniata"	""	"Hill, E (Elaine)"	"998784"	"2014-05-24"	"Rudbeckia laciniata B2815 EHill 20142405 04.jpg"	""
"Rudbeckia laciniata_4 (2518).jpg"	"4"	"Rudbeckia laciniata"	""	"Hill, E (Elaine)"	"998784"	"2014-05-24"	"Rudbeckia laciniata B2815 EHill 20142405 03.jpg"	""
"Rudbeckia laciniata_5 (2517).jpg"	"5"	"Rudbeckia laciniata"	""	"Hill, E (Elaine)"	"998784"	"2014-05-24"	"Rudbeckia laciniata B2815 EHill 20142405 02.jpg"	""
"Rudbeckia laciniata_6 (2521).jpg"	"6"	"Rudbeckia laciniata"	""	"Hill, E (Elaine)"	"998784"	"2014-05-24"	"Rudbeckia laciniata B2815 EHill 20142405 06.jpg"	""
"Ruta graveolens_2 (969).JPG"	"2"	"Ruta graveolens"	""	"Hoegen, N. (Nicole)"	"5038848"	"2010-10-13"	"Ruta graveolens_20061026_NHoegen_20101013_001.JPG"	""
"Ruta graveolens_2 (970).JPG"	"2"	"Ruta graveolens"	""	"Hoegen, N. (Nicole)"	"5038848"	"2010-10-13"	"Ruta graveolens_20061026_NHoegen_20101013_002.JPG"	""
"Salvia officinalis_2 (457).JPG"	"2"	"Salvia officinalis"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5038848"	""	"Salviaofficinalis_20070069_NRoques_14072008A.JPG"	""
"Salvia officinalis_2 (458).JPG"	"2"	"Salvia officinalis"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5038848"	""	"Salviaofficinalis_20070069_NRoques_14072008B.JPG"	""
"Salvia sclarea_2 (1194).JPG"	"2"	"Salvia sclarea"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5294080"	"2008-07-15"	"Salviasclarea_20071308_NRoques_15072008B.JPG"	""
"Salvia sclarea_2 (1195).JPG"	"2"	"Salvia sclarea"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5294080"	"2008-07-15"	"Salviasclarea_20071308_NRoques_15072008A.JPG"	""
"Salvia sclarea_2 (1196).JPG"	"2"	"Salvia sclarea"	"Hortus Botanicus Amsterdam"	"Verbeek, Y.E. (Yolente)"	"5038848"	""	"Salvia sclarea 20071308 YV 20100709 a.JPG"	"Number:a"
"Salvia sclarea_2 (1197).JPG"	"2"	"Salvia sclarea"	"Hortus Botanicus Amsterdam"	"Verbeek, Y.E. (Yolente)"	"5038848"	""	"Salvia sclarea 20071308 YV 20100709 b.JPG"	"Number:b"
"Sanguisorba minor_2 (174).JPG"	"2"	"Sanguisorba minor"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5038848"	""	"Sanguisorbaminor_20051877_NRoques_15072008.JPG"	""
"Sanguisorba officinalis_1 (879).JPG"	"1"	"Sanguisorba officinalis"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5038848"	""	"Sanguisorbaofficinalis_B4379_NRoques_14072008A.JPG"	""
"Sanguisorba officinalis_2 (880).JPG"	"2"	"Sanguisorba officinalis"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5038848"	""	"Sanguisorbaofficinalis_B4379_NRoques_14072008B.JPG"	""
"Santolina chamaecyparissus_2 (1061).JPG"	"2"	"Santolina chamaecyparissus"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5294080"	"2008-07-15"	"Santolinachamaecyparissus_20070059_NRoques_15072008.JPG"	""
"Saponaria officinalis_2 (352).JPG"	"2"	"Saponaria officinalis"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5294080"	"2008-07-15"	"Saponariaofficinalis_B1169_NRoques_15072008B.JPG"	""
"Saponaria officinalis_2 (353).JPG"	"2"	"Saponaria officinalis"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5294080"	"2008-07-15"	"Saponariaofficinalis_B1169_NRoques_15072008A.JPG"	""
"Saponaria officinalis_2 (981).JPG"	"2"	"Saponaria officinalis"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5294080"	"2008-09-10"	"Saponaria officinalis B4346 NRoques 25092008 A.JPG"	"Number:A"
"Saponaria officinalis_2 (982).JPG"	"2"	"Saponaria officinalis"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5294080"	"2008-09-10"	"Saponaria officinalis B4346 NRoques 25092008 B.JPG"	"Number:B"
"Satureja montana_2 (1199).JPG"	"2"	"Satureja montana"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5294080"	"2008-07-15"	"Saturejamontana_20070055_NRoques_15072008A.JPG"	""
"Sedum telephium_2 (1554).JPG"	"2"	"Sedum telephium"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5038848"	""	"Sedumtelephium_20070008_NRoques_25092008.JPG"	""
"Sium sisarum_2 (831).JPG"	"2"	"Sium sisarum"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5038848"	""	"Siumsisarum_B5255_NRoques_14072008.JPG"	""
"Sium sisarum_2 (832).JPG"	"2"	"Sium sisarum"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5294080"	"2008-07-23"	"Siumsisarum_B5255_NRoques_23072008.JPG"	""
"Stachys officinalis_2 (694).JPG"	"2"	"Stachys officinalis"	"Hortus Botanicus Amsterdam"	"Verbeek, Y.E. (Yolente)"	"5038848"	""	"Stachys officinalis 20061944 YV 20090810 a.JPG"	"Number:a"
"Stachys officinalis_2 (695).JPG"	"2"	"Stachys officinalis"	"Hortus Botanicus Amsterdam"	"Verbeek, Y.E. (Yolente)"	"5038848"	""	"Stachys officinalis 20061944 YV 20090810 b.JPG"	"Number:b"
"Stachys officinalis_2 (696).JPG"	"2"	"Stachys officinalis"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5038848"	""	"Stachysofficinalis_20061944_NRoques_14072008.JPG"	""
"Stachys officinalis_2 (1320).JPG"	"2"	"Stachys officinalis"	""	"Havinga, R.M. (Reinout)"	"5038848"	"2011-07-06"	"Stachys officinalis_20100015_RMH_20110706.JPG"	""
"Symphytum officinale_2 (1409).JPG"	"2"	"Symphytum officinale"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5038848"	""	"Symphytumofficinale_20070076_NRoques_14072008.JPG"	""
"Thymus vulgaris_2 (374).JPG"	"2"	"Thymus vulgaris"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5294080"	"2008-07-23"	"Thymusvulgaris_20070067_NRoques_23072008.JPG"	""
"Tropaeolum majus_1 (1977).jpg"	"1"	"Tropaeolum majus"	""	""	"674816"	"2014-03-23"	"Tropaeolum majus Moninckx.jpg"	""
"Tropaeolum majus_2 (860).JPG"	"2"	"Tropaeolum majus"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5038848"	""	"Trapaeolummajus_20001592_NRoques_21082008B.JPG"	""
"Tropaeolum majus_2 (861).JPG"	"2"	"Tropaeolum majus"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5038848"	""	"Trapaeolummajus_20001592_NRoques_21082008A.JPG"	""
"Tropaeolum majus_2 (862).JPG"	"2"	"Tropaeolum majus"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5038848"	""	"Tropaeolummajus1_20001592_NRoques_25092008.JPG"	"Number:1"
"Tropaeolum majus_2 (863).JPG"	"2"	"Tropaeolum majus"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5038848"	""	"Tropaeolummajus2_20001592_NRoques_25092008.JPG"	"Number:2"
"Urtica dioica_2 (394).JPG"	"2"	"Urtica dioica"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5038848"	""	"Urticadioca_920014_NRoques_14072008.JPG"	""
"Valeriana officinalis_2 (402).JPG"	"2"	"Valeriana officinalis"	""	"Hoegen, N. (Nicole)"	"5038848"	"2010-10-13"	"Valeriana officinalis_B1914_NHoegen_20101013_001.JPG"	""
"Valeriana officinalis_2 (403).JPG"	"2"	"Valeriana officinalis"	"Hortus Botanicus Amsterdam"	"Hoegen, N. (Nicole)"	"5038848"	"2010-10-13"	"Valeriana officinalis_B1914_NHoegen_20101013_002.JPG"	""
"Viburnum tinus_2 (2209).jpg"	"2"	"Viburnum tinus"	""	"Hoegen, N. (Nicole)"	"999364"	"2010-10-14"	"Vinurnum tinus L_20070070_NHoegen_20109_001.jpg"	""
"Vinca major_2 (1267).JPG"	"2"	"Vinca major"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5038848"	""	"Vincamajor_20070058_NRoques_14072008B.JPG"	""
"Vinca major_2 (1268).JPG"	"2"	"Vinca major"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5038848"	""	"Vincamajor_20070058_NRoques_14072008A.JPG"	""
"Vinca minor_1 (2605).jpg"	"1"	"Vinca minor"	""	"Hill, E (Elaine)"	"998784"	"2014-03-16"	"Vinca minor 20030076 EHill 20141603 01.jpg"	""
"Vinca minor_2 (608).JPG"	"2"	"Vinca minor"	"Hortus Botanicus Amsterdam"	"Roques, N. (Nicolas)"	"5038848"	""	"Vincaminor_20070060_NRoques_14072008.JPG"	""
"Vinca minor_10 (2604).jpg"	"10"	"Vinca minor"	""	"Hill, E (Elaine)"	"998784"	"2014-03-16"	"Vinca minor 20030076 EHill 20141603 02.jpg"	""
"Viola tricolor subsp. tricolor_2 (2210).jpg"	"2"	"Viola tricolor subsp. tricolor"	""	"Hoegen, N. (Nicole)"	"999364"	"2010-08-09"	"Viola tricolor L_20091056_NHoegen_20109_001.jpg"	""
"Vitex agnus-castus_1 (2211).jpg"	"1"	"Vitex agnus-castus"	""	"Hoegen, N. (Nicole)"	"999364"	"2010-10-14"	"Vitex agnus-castus_20070065_NHoegen_201010_001.jpg"	""
"Vitex agnus-castus_2 (2212).jpg"	"2"	"Vitex agnus-castus"	""	"Hoegen, N. (Nicole)"	"999364"	"2010-10-14"	"Vitex agnus-castus_20070065_NHoegen_201010_002.jpg"	""
